"","year","mean","se","lcl","ucl","species","colony","sp_col2"
"52",1992,0.9440374,0.0182624,0.8954776,0.9707732,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"53",1993,0.9622603,0.0166522,0.9121223,0.9842852,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"54",1994,0.9744743,0.0187777,0.8968397,0.9940703,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"55",1995,0.8696228,0.0299251,0.7990405,0.9179601,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"56",1996,0.8884393,0.0308999,0.812121,0.9361921,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"57",1997,0.9138731,0.0292645,0.836598,0.9565038,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"58",1998,0.815668,0.0368455,0.7324235,0.8773514,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"59",1999,0.8992464,0.0283392,0.8286113,0.9427807,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"60",2000,0.8957029,0.0269768,0.8298228,0.937985,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"61",2001,0.8256331,0.0315945,0.7548858,0.8792275,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"62",2002,0.8496936,0.0288346,0.7840935,0.897956,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"63",2003,0.9070788,0.0241301,0.8477882,0.9447785,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"64",2004,0.9151861,0.0237918,0.8554374,0.9516364,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"65",2005,0.9174517,0.0236974,0.8575304,0.9535362,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"66",2006,0.941912,0.0225695,0.8784092,0.9732591,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"67",2007,0.8471852,0.0530346,0.7129539,0.925229,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"68",2008,0.7977564,0.0535308,0.6730537,0.8831528,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"69",2009,0.9539028,0.0246268,0.8734821,0.9841329,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"70",2010,0.9392482,0.0276187,0.8568787,0.9755641,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"71",2011,0.9154537,0.0331219,0.8239519,0.9616127,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"72",2012,0.8902804,0.0370103,0.794291,0.9446025,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"73",2013,0.9074743,0.0405162,0.7920626,0.9619094,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"74",2014,0.9074386,0.0336827,0.8170915,0.9555848,"Atlantic puffin","Røst","Atlantic puffin-Røst"
"75",2008,0.8313655,0.0544591,0.6971958,0.9134647,"Atlantic puffin","Runde","Atlantic puffin-Runde"
"76",2009,0.8481097,0.0567114,0.7020299,0.9297412,"Atlantic puffin","Runde","Atlantic puffin-Runde"
"77",2010,0.928715,0.03409,0.8260458,0.9727844,"Atlantic puffin","Runde","Atlantic puffin-Runde"
"78",2011,0.8976118,0.0405079,0.787024,0.9541241,"Atlantic puffin","Runde","Atlantic puffin-Runde"
"79",2012,0.8546641,0.0439702,0.7460855,0.9216861,"Atlantic puffin","Runde","Atlantic puffin-Runde"
"80",2013,0.9206457,0.0387711,0.803922,0.9704396,"Atlantic puffin","Runde","Atlantic puffin-Runde"
"81",2014,0.8380516,0.0597951,0.68574,0.9246538,"Atlantic puffin","Runde","Atlantic puffin-Runde"
"82",2015,0.8168708,0.0684806,0.6452081,0.9162564,"Atlantic puffin","Runde","Atlantic puffin-Runde"
"83",2016,0.8204376,0.2515796,0.1385006,0.992358,"Atlantic puffin","Runde","Atlantic puffin-Runde"
"84",2017,0.9470964,0.9293599,2.912507e-15,1,"Atlantic puffin","Runde","Atlantic puffin-Runde"
"85",2018,0.9401076,2.4236661,3.590215e-36,1,"Atlantic puffin","Runde","Atlantic puffin-Runde"
"86",2019,0.9589944,11.020541,6.550878e-238,1,"Atlantic puffin","Runde","Atlantic puffin-Runde"
"87",2006,0.9282916,0.0243943,0.8632398,0.9637018,"Black-legged kittiwake","Anda","Black-legged kittiwake-Anda"
