"","year","mean","se","lcl","ucl","species","colony","sp_col2"
"216",2007,0.8121149,0.0331999,0.7383377,0.8687869,"Little auk","Bjørnøya","Little auk-Bjørnøya"
"217",2008,0.804755,0.027413,0.7454192,0.8529888,"Little auk","Bjørnøya","Little auk-Bjørnøya"
"218",2009,0.8093852,0.02429,0.7572089,0.8525324,"Little auk","Bjørnøya","Little auk-Bjørnøya"
"219",2010,0.8005016,0.0235746,0.7502785,0.842741,"Little auk","Bjørnøya","Little auk-Bjørnøya"
"220",2011,0.849657,0.0201384,0.8057953,0.8850259,"Little auk","Bjørnøya","Little auk-Bjørnøya"
"221",2012,0.8840807,0.0172143,0.8458512,0.9137954,"Little auk","Bjørnøya","Little auk-Bjørnøya"
"222",2013,0.7463982,0.0224948,0.6998469,0.7879176,"Little auk","Bjørnøya","Little auk-Bjørnøya"
"223",2014,0.834266,0.0196291,0.7921469,0.8692588,"Little auk","Bjørnøya","Little auk-Bjørnøya"
"224",2015,0.7088731,0.0243021,0.6590604,0.754123,"Little auk","Bjørnøya","Little auk-Bjørnøya"
"225",2016,0.9097585,0.0166748,0.8713105,0.9375429,"Little auk","Bjørnøya","Little auk-Bjørnøya"
"226",2017,0.8567116,0.02062,0.8113816,0.8925897,"Little auk","Bjørnøya","Little auk-Bjørnøya"
"227",2018,0.7360295,0.0262135,0.6815687,0.7841261,"Little auk","Bjørnøya","Little auk-Bjørnøya"
"228",2019,0.8083333,0.0254076,0.7535785,0.8532902,"Little auk","Bjørnøya","Little auk-Bjørnøya"
"229",2006,0.7406332,0.0677765,0.5884889,0.850789,"Little auk","Isfjorden","Little auk-Isfjorden"
"230",2007,0.8887548,0.0665051,0.681285,0.9675945,"Little auk","Isfjorden","Little auk-Isfjorden"
"231",2008,0.8476096,0.0578759,0.6979932,0.9304866,"Little auk","Isfjorden","Little auk-Isfjorden"
"232",2009,0.8191549,0.0510931,0.6973338,0.8990425,"Little auk","Isfjorden","Little auk-Isfjorden"
"233",2010,0.8757567,0.0453578,0.756906,0.9410276,"Little auk","Isfjorden","Little auk-Isfjorden"
"234",2011,0.8883102,0.0410755,0.7793957,0.9471021,"Little auk","Isfjorden","Little auk-Isfjorden"
"235",2012,0.8996594,0.0349763,0.8075298,0.9503982,"Little auk","Isfjorden","Little auk-Isfjorden"
"236",2013,0.7725455,0.0343508,0.698378,0.8328407,"Little auk","Isfjorden","Little auk-Isfjorden"
"237",2014,0.8940792,0.0473201,0.760193,0.9574041,"Little auk","Isfjorden","Little auk-Isfjorden"
"238",2015,0.742816,0.0458828,0.6433459,0.8222105,"Little auk","Isfjorden","Little auk-Isfjorden"
"239",2016,0.7186513,0.0588612,0.5907807,0.8188193,"Little auk","Isfjorden","Little auk-Isfjorden"
"240",2017,0.8386156,0.0682152,0.6592747,0.9331343,"Little auk","Isfjorden","Little auk-Isfjorden"
"241",2018,0.7267942,0.070713,0.5696492,0.8424293,"Little auk","Isfjorden","Little auk-Isfjorden"
"242",2019,0.6417279,0.0603848,0.5170168,0.7498195,"Little auk","Isfjorden","Little auk-Isfjorden"
"243",2007,0.8473468,0.0223251,0.7982924,0.8861724,"Little auk","Kongsfjorden","Little auk-Kongsfjorden"
"244",2008,0.8255982,0.0246968,0.7718105,0.8688616,"Little auk","Kongsfjorden","Little auk-Kongsfjorden"
"245",2009,0.7920896,0.0272173,0.7337315,0.8404388,"Little auk","Kongsfjorden","Little auk-Kongsfjorden"
"246",2010,0.8415238,0.0321444,0.7680241,0.8949219,"Little auk","Kongsfjorden","Little auk-Kongsfjorden"
"247",2011,0.718788,0.0380574,0.6386313,0.7870923,"Little auk","Kongsfjorden","Little auk-Kongsfjorden"
"248",2012,0.9213658,0.0366943,0.8128088,0.9693423,"Little auk","Kongsfjorden","Little auk-Kongsfjorden"
"249",2013,0.7182579,0.0456198,0.6210444,0.7986197,"Little auk","Kongsfjorden","Little auk-Kongsfjorden"
"250",2014,0.8860029,0.0875734,0.5868923,0.9770217,"Little auk","Kongsfjorden","Little auk-Kongsfjorden"
"251",2015,0.6104425,0.0820164,0.4435374,0.7549452,"Little auk","Kongsfjorden","Little auk-Kongsfjorden"
"252",2016,0.9264351,0.0446256,0.7772649,0.9784703,"Little auk","Kongsfjorden","Little auk-Kongsfjorden"
"253",2017,0.9167509,0.0593192,0.7059046,0.9805911,"Little auk","Kongsfjorden","Little auk-Kongsfjorden"
"254",2018,0.7690066,0.1490321,0.3913396,0.9451689,"Little auk","Kongsfjorden","Little auk-Kongsfjorden"
